"word","weining","dafang","luquan","bijie","panxian","longlin","honghe","shiping","weishan","xide","chuxiong","yongren","shilin"
"󲜐",,,,"ȵdʑa³³",,,,"te⁵⁵",,,,,
"󲜑","tʼa²¹","tʼa²¹",,"tʼa³³","ta²¹",,"tʼa²¹","tʼᴀ²¹",,,,,
"󲜒","lɪ¹³","ʟe³³",,"lɪ³³",,"lei⁵⁵","li³³",,,,,,
"󲜓","lɪ¹³","lɛ¹³","lɚ⁵⁵","lɪ¹³",,"la⁵⁵","la²¹","læ¹³","lᴀ²¹","ʑo⁵⁵、tɛ³³","læ²¹","lo²¹","ɬa³³"
"󲜔","ɖu³³",,,"ɖu²¹",,,,,,"dzɿ³³",,,
"󲜕",,,,,,,,,,"pi²¹",,,
"󲜖","pu²¹",,,"tɕo⁵⁵",,"pu⁵³","per²¹","pia²¹","piɐ²¹","no³³",,,
"󲜗","bu³³","bo³³","bo²¹",,"bu³³","pɯa⁵⁵","bɤ³³","bu³³",,,,,
"󲜘","me³³","me³³","mɔ³³","me³³","mɚ²¹","mɚ⁵³","ma⁵⁵","mɛ³³","me²¹","mɿ²¹","mə⁵⁵","mɛ⁵⁵","mɛ⁵⁵"
"󲜙","vu⁵⁵","vu⁵⁵","vi⁵⁵","vu⁵⁵",,,"vɤ⁵⁵","vɤ⁵⁵","le²¹","vɿ⁵⁵","bə³³","ɕi²¹","kɪ⁵⁵"
"󲜚","vu³³","vu³³","vɤ³³",,"ɣʊ³³bvu³³","vɯ³³","ɣo³³","ɣo³³","va²¹","vo³³","ɣo²¹","ɣo²¹","vɐ²¹"
"󲜛","dzo³³tɛ⁵⁵","tso³³",,"dzo³³",,"tɕou²¹","（mɤ⁵⁵）tɕi²¹","ti⁵⁵","te²¹","（ha³³）se³³",,"tɛ⁵⁵",
"󲜜","to²¹、tʼi³³","zɿ²¹","tɔ²¹","to³³",,,,"to²¹",,"to²¹",,"to²¹","zɿ²¹"
"󲜝","tʼɪ³³","tʼie³³","pɔ²¹","tʼi³³",,"tʼɯa⁵³","tʼɣ³³","tʼɤr³³","pao³³","tʼɛ³³",,,"tʼɤ³³"
"󲜞","tʼa³³","tʼa³³",,,,,,"tʼa³³","tɕiŋ³³",,,,
"󲜟","tʼo³³",,,"tʼo³³",,,,,,"tɛ³³",,,
"󲜠",,"ȵdʑo³³",,"tʼʊ³³",,,,,"gɔ³³stʼi³³",,,,
"󲜡","da³³","da³³","da²¹","da³³","da⁵¹","de⁵³","de³³","de³³","dɪ³³","dɔ³³",,"de³³","de³³"
"󲜢","ɬʊ¹³","Vɯ³³",,"Ve²¹",,,,,"pʼiao³³",,,,
"󲜣","tɕo³³","tɕo³³","tɕor²¹","tɕo³³","dzʊ⁵¹","ȵdʑɯ⁵³","dʑʊ³³","tsʊ³³","tɕiŋ³³","tɕɔ³³",,,
"󲜤",,"gɯ³³","ɕɔ³³","tɕʊ⁵⁵",,,,,,,,,
"󲜥","ke³³",,,"ke²¹",,,"pa²¹",,,,,,
"󲜦","ku³³","ku³³",,"ku³³",,,"lɛ²¹","lɛ²¹",,,,,
