word,page,radical,count,code,hanyu
󲜐,128,󳜰,2,hfxn,陷害
󲜑,143,󳜰,2,hjxm,兔子
󲜒,193,󳜰,2,hsxm,（刀刃含钢不足而）卷
󲜓,193,󳜰,2,hsxz,1、舔；2、（专指母羊对出生羊崽的舔）
󲜔,218,󳜰,2,hgxz,便宜
󲜕,3,󳜰,3,hfgxm,埋怨
󲜖,14,󳜰,3,hggxz,裱褙
󲜗,42,󳜰,3,jdxn,（木）渣
󲜘,53,󳜰,3,kxm,尾，末
󲜙,74,󳜰,3,jhxm,（两边）分开
󲜚,75,󳜰,3,hgpxn,雪
󲜛,102,󳜰,3,hpgxm,绊（舌）
󲜜,133,󳜰,3,hghxn,1、指（人、物）；2、指向
󲜝,139,󳜰,3,jdxm,包、扎
󲜞,142,󳜰,3,hejxm,锐利
󲜟,144,󳜰,3,hdgxz,这里
󲜠,148,󳜰,3,hjhxm,惊恐
󲜡,155,󳜰,3,hgpxm,1、爬、攀、登；2、上（动词）
󲜢,189,󳜰,3,hpfxm,飘
󲜣,274,󳜰,3,htjxm,（牛马）惊
󲜤,275,󳜰,3,hegxz,禁闭
󲜥,320,󳜰,4,jfxn,八角
󲜦,325,󳜰,4,jjxm,幼
󲜧,371,󳜰,4,jpxn,膨胀
󲜨,387,󳜰,4,hegxm,高祖
󲜩,7,󳜰,4,kfxn,特地，专门
󲜪,9,󳜰,4,kgxn,翻
󲜫,9,󳜰,4,hhtgxz,爆
󲜬,23,󳜰,4,hfhgxz,翻（开）
󲜭,23,󳜰,4,jjhxn,逃
󲜮,29,󳜰,4,hfghxn,象声词（像枪弹飞驰声）
󲜯,50,󳜰,4,htgjxz,宝剑
󲜰,59,󳜰,4,jggxn,1、（兄弟中的）长者，2，大
󲜱,82,󳜰,4,bghxm,唱
󲜲,107,󳜰,4,hgjtxz,（马拴着）放牧
󲜳,112,󳜰,4,htghxz,（火）熄灭
󲜴,127,󳜰,4,jgyxn,1、（精细地）缝，（缝制工艺之一）2、篾箩
󲜵,146,󳜰,4,htgjxn,1、乾坤；宇宙空间的）上下，2、开辟3、一个地名、人名
󲜶,162,󳜰,4,htgqxn,（地）区
󲜷,171,󳜰,4,hthpxn,心
󲜸,222,󳜰,5,jhgxn,（熟）透
󲜹,246,󳜰,5,hpghxm,焦（干），（干）脆
󲜺,247,󳜰,5,hhgqxm,股（量词）
󲜻,270,󳜰,5,kmxn,咳
󲜼,271,󳜰,5,hfjxz,供奉
󲜽,323,󳜰,5,hgfxm,总是
󲜾,291,󳜰,5,hiogxn,计较
󲜿,305,󳜰,5,jggxm,（斜）靠
󲝀,328,󳜰,5,hhhjxm,煞气（旧时迷信说法）
󲝁,377,󳜰,5,hghgxm,（语气助词）
󲝂,383,󳜰,5,hggpxn,（笑声）
󲝃,20,󳜰,5,jpgyxn,呛
󲝄,20,󳜰,5,jfhhxn,灰（色）
󲝅,20,󳜰,5,jfhhxm,胛骨
󲝆,20,󳜰,5,hgtghxn,锄头
󲝇,39,󳜰,5,kghxn,（嫩、青）草
󲝈,43,󳜰,5,jguhxn,吹嘘、夸口
󲝉,67,󳜰,5,hgggmxn,危及、威胁
󲝊,76,󳜰,5,hjdxm,蝙蝠
󲝋,87,󳜰,5,jpgvxn,瞪（眼）
󲝌,91,󳜰,5,hpghhxm,钹
󲝍,98,󳜰,5,hgggpxn,匪
󲝎,111,󳜰,5,hffxm,研究
󲝏,110,󳜰,5,hhtthxm,商议
󲝐,114,󳜰,5,khhxn,（象声词）
󲝑,119,󳜰,5,hdgxb,选择
󲝒,125,󳜰,5,hgyhhxn,蠕（动）
󲝓,144,󳜰,5,ghhfxn,1、下方；2、地名用字
󲝔,144,󳜰,5,kgjxn,惬意草
󲝕,147,󳜰,5,htghyxn,1、钻（孔）；2、穿（孔）；
󲝖,148,󳜰,5,htghmxn,土蚕子
󲝗,154,󳜰,5,hghhuxn,制度
󲝘,189,󳜰,5,hhggfxm,白杨树
󲝙,198,󳜰,5,hdjxm,向（祖宗祝告）
󲝚,207,󳜰,5,jgqgxn,鹰
󲝛,291,󳜰,5,jgqgxm,1、寒，冷；2；失望
󲝜,291,󳜰,5,jfhhxn,管，筒
󲝝,292,󳜰,5,hghggxn,（递给东西的）发音词
󲝞,294,󳜰,5,hhgghxm,1、玩；2、耍；
󲝟,295,󳜰,5,hhghgxn,摇动
󲝠,312,󳜰,5,higogxm,1、锯；2、割；
󲝡,317,󳜰,5,jgthxn,右
󲝢,325,󳜰,5,hfghxm,凹
󲝣,345,󳜰,5,hggghxn,认真
󲝤,349,󳜰,5,jhghxn,笔管草（节节草）
󲝥,360,󳜰,5,kggxn,1、（绵羊）毛；2、棉；
󲝦,371,󳜰,5,hfjhxm,蹲
󲝧,25,󳜰,6,jdpppxb,野葱（苦蒜）
󲝨,28,󳜰,6,kpyuxn,丰盛
󲝩,30,󳜰,6,htghghxn,松球
󲝪,30,󳜰,6,jgjrxn,葵花
󲝫,77,󳜰,6,hfffxn,麻（味）
󲝬,111,󳜰,6,hjhghxm,纱（线）
󲝭,117,󳜰,6,hthpjxn,像、相同
󲝮,183,󳜰,6,jpghhxn,额头
󲝯,190,󳜰,6,hhghtghxm,晒
󲝰,219,󳜰,6,htgkxn,行走
󲝱,259,󳜰,6,jjkxb,承受
󲝲,261,󳜰,6,jggfxn,开（车）
󲝳,297,󳜰,6,jpghqxn,土茯苓
󲝴,316,󳜰,6,hdhgghxm,松弛
󲝵,345,󳜰,6,hdhjxm,1、耕；2、庄稼（古语，耕牧）
󲝶,390,󳜰,6,jgpghxn,叛
󲝷,31,󳜰,7,htghghdxn,萌（发），萌（芽）
󲝸,51,󳜰,7,jpffxn,（粉）末，面
󲝹,70,󳜰,7,hffgtxn,稗
󲝺,78,󳜰,7,jffgxn,（形容词缀）
󲝻,108,󳜰,7,hgffgxm,流（星）
󲝼,121,󳜰,7,jgkgxn,1、豹；2、狼；
󲝽,124,󳜰,7,htfkxn,1、光；2、闪亮；
󲝾,136,󳜰,7,hghffxz,起疹子
