word,page,radical,count,code,pinyins,hanyu,hanyukey
󲜐,128,󳜰,2,hfxn,石屏:te⁵⁵/毕节:ȵdʑa³³,陷害,陷害
󲜑,143,󳜰,2,hjxm,威宁:tʼa²¹/红河:tʼa²¹/石屏:tʼᴀ²¹/盘县:ta²¹/大方:tʼa²¹/毕节:tʼa³³,兔子,兔子
󲜒,193,󳜰,2,hsxm,威宁:lɪ¹³/红河:li³³/隆林:lei⁵⁵/大方:ʟe³³/毕节:lɪ³³,（刀刃含钢不足而）卷,卷
󲜓,193,󳜰,2,hsxz,威宁:lɪ¹³/石林:ɬa³³/红河:la²¹/巍山:lᴀ²¹/喜德:ʑo⁵⁵、tɛ³³/楚雄:læ²¹/禄劝:lɚ⁵⁵/大方:lɛ¹³/石屏:læ¹³/永仁:lo²¹/隆林:la⁵⁵/毕节:lɪ¹³,1、舔；2、（专指母羊对出生羊崽的舔）,舔
󲜔,218,󳜰,2,hgxz,威宁:ɖu³³/喜德:dzɿ³³/毕节:ɖu²¹,便宜,便宜
󲜕,3,󳜰,3,hfgxm,喜德:pi²¹,埋怨,埋怨
󲜖,14,󳜰,3,hggxz,威宁:pu²¹/红河:per²¹/巍山:piɐ²¹/喜德:no³³/石屏:pia²¹/隆林:pu⁵³/毕节:tɕo⁵⁵,裱褙,裱褙
󲜗,42,󳜰,3,jdxn,威宁:bu³³/红河:bɤ³³/禄劝:bo²¹/石屏:bu³³/隆林:pɯa⁵⁵/大方:bo³³/盘县:bu³³,（木）渣,木渣
󲜘,53,󳜰,3,kxm,威宁:me³³/石林:mɛ⁵⁵/红河:ma⁵⁵/巍山:me²¹/喜德:mɿ²¹/楚雄:mə⁵⁵/禄劝:mɔ³³/大方:me³³/石屏:mɛ³³/永仁:mɛ⁵⁵/隆林:mɚ⁵³/盘县:mɚ²¹/毕节:me³³,尾，末,末尾/末/尾
󲜙,74,󳜰,3,jhxm,威宁:vu⁵⁵/石林:kɪ⁵⁵/红河:vɤ⁵⁵/巍山:le²¹/喜德:vɿ⁵⁵/楚雄:bə³³/禄劝:vi⁵⁵/大方:vu⁵⁵/石屏:vɤ⁵⁵/永仁:ɕi²¹/毕节:vu⁵⁵,（两边）分开,分开
󲜚,75,󳜰,3,hgpxn,威宁:vu³³/石林:vɐ²¹/红河:ɣo³³/巍山:va²¹/喜德:vo³³/楚雄:ɣo²¹/禄劝:vɤ³³/大方:vu³³/石屏:ɣo³³/永仁:ɣo²¹/隆林:vɯ³³/盘县:ɣʊ³³bvu³³,雪,雪
󲜛,102,󳜰,3,hpgxm,威宁:dzo³³tɛ⁵⁵/红河:（mɤ⁵⁵）tɕi²¹/巍山:te²¹/喜德:（ha³³）se³³/石屏:ti⁵⁵/永仁:tɛ⁵⁵/隆林:tɕou²¹/大方:tso³³/毕节:dzo³³,绊（舌）,绊舌
󲜜,133,󳜰,3,hghxn,威宁:to²¹、tʼi³³/石林:zɿ²¹/大方:zɿ²¹/喜德:to²¹/禄劝:tɔ²¹/石屏:to²¹/永仁:to²¹/毕节:to³³,1、指（人、物）；2、指向,指人/指物/指向/指
󲜝,139,󳜰,3,jdxm,威宁:tʼɪ³³/石林:tʼɤ³³/红河:tʼɣ³³/巍山:pao³³/喜德:tʼɛ³³/禄劝:pɔ²¹/石屏:tʼɤr³³/隆林:tʼɯa⁵³/大方:tʼie³³/毕节:tʼi³³,包、扎,包/包扎
󲜞,142,󳜰,3,hejxm,威宁:tʼa³³/石屏:tʼa³³/巍山:tɕiŋ³³/大方:tʼa³³,锐利,锐利
󲜟,144,󳜰,3,hdgxz,威宁:tʼo³³/喜德:tɛ³³/毕节:tʼo³³,这里,这里
󲜠,148,󳜰,3,hjhxm,毕节:tʼʊ³³/巍山:gɔ³³stʼi³³/大方:ȵdʑo³³,惊恐,惊恐
󲜡,155,󳜰,3,hgpxm,威宁:da³³/石林:de³³/红河:de³³/巍山:dɪ³³/喜德:dɔ³³/禄劝:da²¹/石屏:de³³/永仁:de³³/隆林:de⁵³/盘县:da⁵¹/大方:da³³/毕节:da³³,1、爬、攀、登；2、上（动词）,爬/攀爬/攀/攀登/登/上
󲜢,189,󳜰,3,hpfxm,威宁:ɬʊ¹³/巍山:pʼiao³³/大方:Vɯ³³/毕节:Ve²¹,飘,飘
󲜣,274,󳜰,3,htjxm,威宁:tɕo³³/红河:dʑʊ³³/巍山:tɕiŋ³³/喜德:tɕɔ³³/禄劝:tɕor²¹/石屏:tsʊ³³/隆林:ȵdʑɯ⁵³/盘县:dzʊ⁵¹/大方:tɕo³³/毕节:tɕo³³,（牛马）惊,惊/牛马惊
󲜤,275,󳜰,3,hegxz,禄劝:ɕɔ³³/大方:gɯ³³/毕节:tɕʊ⁵⁵,禁闭,禁闭
󲜥,320,󳜰,4,jfxn,威宁:ke³³/红河:pa²¹/毕节:ke²¹,八角,八角
󲜦,325,󳜰,4,jjxm,威宁:ku³³/红河:lɛ²¹/石屏:lɛ²¹/大方:ku³³/毕节:ku³³,幼,幼
󲜧,371,󳜰,4,jpxn,威宁:ɣo²¹/红河:ɣa²¹/巍山:pʼu²¹/禄劝:ɣɔ²¹/大方:ɣo²¹/石屏:ɣᴀ²¹/永仁:pʼɣ²¹/盘县:ɣo²¹/毕节:ɣo²¹,膨胀,膨胀
󲜨,387,󳜰,4,hegxm,威宁:ho²¹/石屏:mᴀ²¹/大方:ʑa⁵⁵/毕节:pʼi³³,高祖,高祖
󲜩,7,󳜰,4,kfxn,石屏:pᴀ⁵⁵/红河:pa⁵⁵/巍山:（ma²¹）ɤa³³（ʂu⁵⁵）/喜德:hi³³/永仁:tsʼə²¹,特地，专门,特地/专门
󲜪,9,󳜰,4,kgxn,威宁:po³³,翻,翻
󲜫,9,󳜰,4,hhtgxz,威宁:po³³/石林:pa³³/红河:po²¹/巍山:pu³³/喜德:po³³/楚雄:pɯ³³/禄劝:por²¹/大方:po³³/石屏:pɤr³³/永仁:pɯ³³/隆林:pɯ⁵³/盘县:pu⁵¹,爆,爆
󲜬,23,󳜰,4,hfhgxz,威宁:pʼo³³/石林:po³³/红河:pu³³/巍山:pʼo³³/喜德:pʼur³³/楚雄:pʼu⁵⁵/禄劝:pʼo²¹/石屏:pʼo³³/石屏:pur³³/永仁:pʼu³³/隆林:pʼu⁵³/盘县:pʼu⁵¹/毕节:pʼo³³,翻（开）,翻/翻开
󲜭,23,󳜰,4,jjhxn,威宁:pʼo²¹/石林:xi⁵⁵/红河:pʼa²¹/巍山:la³³/喜德:pʼo³³/楚雄:pʼa³³/禄劝:pʼɔ²¹/石屏:pʼa²¹/永仁:pʼɔ³³/大方:tʼɯ²¹/盘县:pʼo²¹/隆林:pʼɯa²¹/毕节:pʼo²¹,逃,逃
󲜮,29,󳜰,4,hfghxn,红河:bi⁵⁵/石屏:bi³³/巍山:piu⁵⁵,象声词（像枪弹飞驰声）,像枪弹飞驰声/枪弹飞驰声/飞驰声
󲜯,50,󳜰,4,htgjxz,威宁:mi³³/红河:tsʼu³³/喜德:tʂʼur³³/禄劝:tʂʼo³³/大方:mu³³,宝剑,宝剑/剑
󲜰,59,󳜰,4,jggxn,威宁:mu³³/石林:mu⁴⁴/红河:mo⁵⁵/喜德:mu³³/禄劝:mu³³/大方:mu⁵⁵/石屏:mo⁵⁵/盘县:mʊ³³/隆林:mu²¹/毕节:mu³³,1、（兄弟中的）长者，2，大,长者/大
󲜱,82,󳜰,4,bghxm,威宁:tso⁵⁵/石林:tso⁵⁵/红河:tɕʼa⁵⁵/巍山:ɣa³³/喜德:ʑa⁵⁵/禄劝:tsɔ⁵⁵/石屏:tsʼa⁵⁵/永仁:tsʼaŋ⁵⁵/隆林:tɕo⁵⁵/大方:tsʊ⁵⁵/毕节:gu²¹,唱,唱
